addr,name,unit,confidence,name_source
0x00113E40,hhfile_00113E40,../hahig/hhfile.c,reached,generated
0x00113E98,hhfile_00113E98,../hahig/hhfile.c,reached,generated
0x00113FB0,hhfile_00113FB0,../hahig/hhfile.c,reached,generated
0x00114000,hhfile_00114000,../hahig/hhfile.c,reached,generated
0x00114050,hhfile_00114050,../hahig/hhfile.c,reached,generated
0x00114158,hhfile_00114158,../hahig/hhfile.c,reached,generated
0x001141A8,hhFileSizeGet,../hahig/hhfile.c,reached,recovered
0x00114240,hhFileReadByName,../hahig/hhfile.c,reached,recovered
0x00114338,hhFileReadByID,../hahig/hhfile.c,unreferenced,recovered
0x001143F0,hhfile_001143F0,../hahig/hhfile.c,reached,generated
0x001144C8,hhFileOpenFile,../hahig/hhfile.c,reached,recovered
0x001145E8,hhfile_001145E8,../hahig/hhfile.c,reached,generated
0x00114680,hhfile_00114680,../hahig/hhfile.c,reached,generated
0x00114700,hhfile_00114700,../hahig/hhfile.c,reached,generated
0x001147B0,hhFileLoadByName,../hahig/hhfile.c,reached,recovered
0x00114858,hhFileLoadByID,../hahig/hhfile.c,reached,recovered
0x00114900,hhfile_00114900,../hahig/hhfile.c,reached,generated
0x00114960,hhfile_00114960,../hahig/hhfile.c,unreferenced,generated
0x00114968,hhfile_00114968,../hahig/hhfile.c,reached,generated
0x00114980,hhFileClose,../hahig/hhfile.c,reached,solo_string
0x00114A30,hhfile_00114A30,../hahig/hhfile.c,reached,generated
0x00114AF0,hhfile_00114AF0,../hahig/hhfile.c,reached,generated
0x00114B30,hhFileSeek,../hahig/hhfile.c,reached,recovered
0x00114C30,hhfile_00114C30,../hahig/hhfile.c,reached,generated
0x00114C70,hhFileArchiveLoad,../hahig/hhfile.c,reached,recovered
0x00114EC8,hhFileArchiveSet,../hahig/hhfile.c,reached,recovered
0x00114F88,hhfile_00114F88,../hahig/hhfile.c,reached,generated
0x00115010,hhfile_00115010,../hahig/hhfile.c,reached,generated
0x00115038,hhfile_00115038,../hahig/hhfile.c,unreferenced,generated
0x00115058,hhfile_00115058,../hahig/hhfile.c,reached,generated
0x00115078,hhfile_00115078,../hahig/hhfile.c,reached,generated
0x00115098,hhfile_00115098,../hahig/hhfile.c,unreferenced,generated
0x001150E8,hhfile_001150E8,../hahig/hhfile.c,reached,generated
0x00115100,hhfile_00115100,../hahig/hhfile.c,reached,generated
